Date,HH,MM,SS,Frame ID
21-11-23,04,01,39,Frame_0.jpg
21-11-23,04,01,44,Frame_1.jpg
21-11-23,04,01,49,Frame_2.jpg
21-11-23,04,01,54,Frame_3.jpg
21-11-23,04,01,59,Frame_4.jpg
21-11-23,04,02,04,Frame_5.jpg
21-11-23,04,02,09,Frame_6.jpg
21-11-23,04,02,14,Frame_7.jpg
21-11-23,04,02,19,Frame_8.jpg
21-11-23,04,02,24,Frame_9.jpg
21-11-23,04,02,29,Frame_10.jpg
21-11-23,04,02,34,Frame_11.jpg
21-11-23,23,43,47,Frame_12.jpg
21-11-23,23,43,49,Frame_13.jpg
21-11-23,23,43,51,Frame_14.jpg
21-11-23,23,43,53,Frame_15.jpg
21-11-23,23,43,55,Frame_16.jpg
21-11-23,23,43,57,Frame_17.jpg
21-11-23,23,43,59,Frame_18.jpg
21-11-23,23,44,01,Frame_19.jpg
21-11-23,23,44,03,Frame_20.jpg
21-11-23,23,44,05,Frame_21.jpg
21-11-23,23,44,07,Frame_22.jpg
21-11-23,23,44,09,Frame_23.jpg
21-11-23,23,44,11,Frame_24.jpg
21-11-23,23,44,13,Frame_25.jpg
21-11-23,23,44,15,Frame_26.jpg
21-11-23,23,44,17,Frame_27.jpg
21-11-23,23,44,19,Frame_28.jpg
21-11-23,23,44,21,Frame_29.jpg
21-11-23,23,44,23,Frame_30.jpg
21-11-23,23,44,25,Frame_31.jpg
21-11-23,23,44,27,Frame_32.jpg
21-11-23,23,44,29,Frame_33.jpg
21-11-23,23,44,31,Frame_34.jpg
21-11-23,23,44,33,Frame_35.jpg
21-11-23,23,44,35,Frame_36.jpg
21-11-23,23,44,37,Frame_37.jpg
21-11-23,23,44,39,Frame_38.jpg
21-11-23,23,44,41,Frame_39.jpg
21-11-23,23,44,43,Frame_40.jpg
21-11-23,23,44,45,Frame_41.jpg
