                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.65529,                 1.0362,                0.43777,                 0.8258,                0.87681,                0.74639,                0.77708,                0.63586,                0.80389,                0.76955,                0.78704,                0.52172,                0.55089,                0.87272,                0.40024,                0.81094,             0.00064333,             0.00064333,             0.00064333
                     26,                0.63174,                0.99857,                 0.4282,                0.82539,                0.85698,                0.74456,                0.76955,                0.63425,                0.77583,                 0.7714,                0.77309,                0.51847,                0.54378,                0.87764,                0.38897,                0.80805,             0.00063508,             0.00063508,             0.00063508
                     27,                0.60956,                0.96196,                0.41324,                0.82154,                0.85556,                0.74718,                0.78091,                0.63353,                0.80886,                0.73106,                0.77066,                0.49398,                0.55278,                0.86163,                0.37917,                0.81223,             0.00062683,             0.00062683,             0.00062683
                     28,                0.64101,                0.99922,                0.42846,                0.82326,                0.85265,                  0.775,                0.78742,                0.63735,                0.80844,                0.76764,                0.76888,                 0.4977,                0.54923,                0.83305,                0.38214,                0.81039,             0.00061859,             0.00061859,             0.00061859
                     29,                 0.5986,                0.95235,                0.40347,                0.81448,                0.87936,                0.77557,                0.78989,                0.64641,                 0.8518,                0.77288,                0.79699,                0.48966,                0.53541,                0.88012,                0.37876,                0.80726,             0.00061034,             0.00061034,             0.00061034
                     30,                0.59018,                0.94766,                0.40306,                0.81781,                0.85962,                0.77001,                0.79069,                0.65668,                0.82852,                0.78832,                0.79939,                0.53096,                0.50491,                0.85172,                0.37622,                0.80506,             0.00060209,             0.00060209,             0.00060209
                     31,                0.57464,                 0.9254,                0.39662,                0.81622,                0.84497,                0.75721,                0.77726,                0.65589,                0.78189,                0.78155,                0.78685,                0.51269,                0.51761,                0.90487,                0.37709,                 0.8044,             0.00059385,             0.00059385,             0.00059385
                     32,                0.60561,                0.96728,                0.40829,                0.81968,                0.83425,                0.77186,                0.78107,                0.63631,                0.80964,                0.77089,                0.78328,                0.51489,                0.54826,                0.93531,                0.37975,                0.80909,              0.0005856,              0.0005856,              0.0005856
                     33,                0.61464,                0.97215,                0.41023,                0.81805,                0.87697,                0.74151,                0.77484,                0.64046,                0.80766,                0.77806,                0.78298,                0.53217,                0.54497,                0.88616,                0.38063,                0.80797,             0.00057735,             0.00057735,             0.00057735
                     34,                0.58966,                0.93596,                0.39966,                0.81798,                0.80769,                0.77345,                0.77644,                0.64397,                0.80624,                0.78563,                0.78285,                0.52059,                0.52096,                0.85089,                0.37469,                0.80625,             0.00056911,             0.00056911,             0.00056911
                     35,                 0.5927,                0.93767,                 0.4047,                0.81957,                0.84442,                0.76449,                0.78051,                0.64725,                0.84943,                0.75825,                0.78948,                0.52378,                0.53095,                0.91088,                0.37366,                0.80665,             0.00056086,             0.00056086,             0.00056086
