,Data,Hour,Minute,Seconds,Microseconds,Time Norm,Track_ID,Object Class,X,Y,Temp,Humidity,Rain,Showers,Snowfall,Cloud  Cover
46,20240118,0,1,27,65840,0.00100770648148148,13,2,3500.2939453125,1301.35327148438,-3.5,85,0,0,0,100
47,20240118,0,1,27,65840,0.00100770648148148,14,1,1699.38891601563,484.866363525391,-3.5,85,0,0,0,100
48,20240118,0,1,27,65840,0.00100770648148148,15,2,3604.140625,1289.51147460938,-3.5,85,0,0,0,100
49,20240118,0,1,27,65840,0.00100770648148148,16,2,3478.5546875,1235.83374023438,-3.5,85,0,0,0,100
50,20240118,0,1,27,65840,0.00100770648148148,17,1,2251.6669921875,682.952331542969,-3.5,85,0,0,0,100
51,20240118,0,1,27,254929,0.00100989501157407,1,0,2003.65283203125,415.406494140625,-3.5,85,0,0,0,100
52,20240118,0,1,27,254929,0.00100989501157407,2,0,671.412353515625,466.077392578125,-3.5,85,0,0,0,100
53,20240118,0,1,27,254929,0.00100989501157407,3,3,3055.3642578125,1076.794921875,-3.5,85,0,0,0,100
54,20240118,0,1,27,254929,0.00100989501157407,4,3,3093.41796875,1131.67578125,-3.5,85,0,0,0,100
55,20240118,0,1,27,254929,0.00100989501157407,5,2,3269.88745117188,1115.44262695313,-3.5,85,0,0,0,100
56,20240118,0,1,27,254929,0.00100989501157407,6,0,1152.52111816406,326.46142578125,-3.5,85,0,0,0,100
57,20240118,0,1,27,254929,0.00100989501157407,7,1,3576.15283203125,1215.822265625,-3.5,85,0,0,0,100
58,20240118,0,1,27,254929,0.00100989501157407,8,0,777.179382324219,681.959106445312,-3.5,85,0,0,0,100
59,20240118,0,1,27,254929,0.00100989501157407,9,0,1923.48608398438,352.203552246094,-3.5,85,0,0,0,100
60,20240118,0,1,27,254929,0.00100989501157407,10,2,3381.6806640625,1307.81909179688,-3.5,85,0,0,0,100
61,20240118,0,1,27,254929,0.00100989501157407,11,0,1927.59252929688,264.877227783203,-3.5,85,0,0,0,100
62,20240118,0,1,27,254929,0.00100989501157407,12,4,1924.15612792969,534.964721679688,-3.5,85,0,0,0,100
63,20240118,0,1,27,254929,0.00100989501157407,13,2,3500.29638671875,1301.37658691406,-3.5,85,0,0,0,100
64,20240118,0,1,27,254929,0.00100989501157407,14,1,1699.58203125,484.941284179688,-3.5,85,0,0,0,100
65,20240118,0,1,27,254929,0.00100989501157407,15,2,3604.13793945313,1289.53540039063,-3.5,85,0,0,0,100
66,20240118,0,1,27,254929,0.00100989501157407,16,2,3478.43994140625,1235.80932617188,-3.5,85,0,0,0,100
67,20240118,0,1,27,254929,0.00100989501157407,17,1,2251.37646484375,683.353332519531,-3.5,85,0,0,0,100
68,20240118,0,1,27,459060,0.00101225763888889,1,0,2003.66674804687,415.637512207031,-3.5,85,0,0,0,100
69,20240118,0,1,27,459060,0.00101225763888889,2,0,671.385375976563,466.122283935547,-3.5,85,0,0,0,100
70,20240118,0,1,27,459060,0.00101225763888889,3,3,3055.38525390625,1076.79333496094,-3.5,85,0,0,0,100
71,20240118,0,1,27,459060,0.00101225763888889,4,3,3093.41796875,1131.67163085938,-3.5,85,0,0,0,100
72,20240118,0,1,27,459060,0.00101225763888889,5,2,3269.88647460937,1115.4345703125,-3.5,85,0,0,0,100
73,20240118,0,1,27,459060,0.00101225763888889,6,0,1152.45336914063,326.49462890625,-3.5,85,0,0,0,100
74,20240118,0,1,27,459060,0.00101225763888889,7,1,3576.1494140625,1215.81396484375,-3.5,85,0,0,0,100
75,20240118,0,1,27,459060,0.00101225763888889,8,0,774.743591308594,682.108520507813,-3.5,85,0,0,0,100
76,20240118,0,1,27,459060,0.00101225763888889,9,0,1923.38598632813,352.261871337891,-3.5,85,0,0,0,100
77,20240118,0,1,27,459060,0.00101225763888889,10,2,3381.66821289062,1307.80102539063,-3.5,85,0,0,0,100
78,20240118,0,1,27,459060,0.00101225763888889,11,0,1927.62670898438,264.901123046875,-3.5,85,0,0,0,100
79,20240118,0,1,27,459060,0.00101225763888889,12,4,1923.82299804688,535.337707519531,-3.5,85,0,0,0,100
80,20240118,0,1,27,459060,0.00101225763888889,13,2,3500.28540039062,1301.37670898438,-3.5,85,0,0,0,100
